loan_amnt,term,int_rate,installment,annual_inc,dti,fico_score,revol_bal,revol_util,total_acc,home_ownership,purpose,emp_length,loan_status
10337, 60 months,20.89,279.01,54614.51,0.55,614,21072,,5,RENT,medical,5 years,0
37487, 36 months,11.47,1235.64,46253.89,17.61,777,4136,33.8,7,RENT,vacation,3 years,0
20129, 36 months,20.98,758.15,25842.67,25.91,753,14705,64.7,39,MORTGAGE,car,10+ years,0
32921, 36 months,23.33,1280.03,45599.76,28.07,797,16403,91.6,27,RENT,major_purchase,7 years,0
34307, 36 months,12.4,1146.05,26325.59,7.04,635,17416,17.7,20,MORTGAGE,home_improvement,< 1 year,1
28355, 36 months,6.31,866.6,43818.83,38.89,731,41784,40.4,3,MORTGAGE,vacation,4 years,0
38732, 60 months,26.49,1170.92,278398.96,24.61,617,46715,15.6,5,RENT,major_purchase,< 1 year,0
5835, 36 months,13.27,197.36,52667.76,6.57,777,19658,49.7,6,RENT,vacation,3 years,0
21159, 36 months,7.9,662.07,35164.33,0.82,588,11853,54.0,36,RENT,home_improvement,1 year,0
39810, 36 months,16.57,1410.83,43224.78,31.33,757,28369,94.4,30,MORTGAGE,small_business,9 years,0
39088, 36 months,22.79,1508.81,38287.44,3.19,755,47121,41.3,17,RENT,credit_card,8 years,0
14216, 60 months,10.49,305.49,91953.76,5.64,840,747,56.7,13,OWN,home_improvement,1 year,0
36547, 60 months,11.56,804.87,46437.62,22.99,663,43326,,22,RENT,credit_card,3 years,0
32471, 36 months,10.96,1062.44,128712.03,24.14,718,48839,32.1,10,RENT,credit_card,2 years,0
18308, 60 months,27.81,567.94,40552.0,27.48,821,39772,67.4,12,MORTGAGE,major_purchase,< 1 year,0
28532, 36 months,9.94,919.84,42152.63,15.74,734,17351,75.7,9,OWN,moving,< 1 year,0
35349, 60 months,18.45,906.31,28621.96,30.96,800,48409,33.1,27,MORTGAGE,other,1 year,0
6713, 36 months,26.32,271.62,38947.54,38.97,714,3547,16.4,33,MORTGAGE,other,7 years,0
5804, 60 months,8.81,119.95,17324.17,10.84,767,32711,50.3,5,OWN,car,1 year,0
11136, 60 months,27.34,342.31,15000.0,28.12,757,29011,35.7,35,MORTGAGE,small_business,< 1 year,1
1009, 36 months,26.82,41.1,71310.87,37.14,646,19182,26.6,29,MORTGAGE,moving,5 years,1
20255, 36 months,25.4,809.63,17201.22,27.45,648,35783,97.3,26,MORTGAGE,credit_card,< 1 year,1
24793, 60 months,10.33,530.81,62541.1,27.24,656,2023,50.2,36,MORTGAGE,debt_consolidation,9 years,0
30548, 60 months,19.77,805.43,36304.68,8.95,591,8592,85.6,20,MORTGAGE,major_purchase,8 years,0
38892, 36 months,22.62,1497.81,86138.99,21.41,825,31109,19.5,36,RENT,medical,5 years,0
2015, 60 months,27.69,62.36,17430.16,22.5,816,20816,93.9,30,MORTGAGE,major_purchase,9 years,0
28712, 36 months,9.56,920.54,70189.25,28.01,831,26499,79.4,15,RENT,other,5 years,0
35961, 36 months,22.74,1387.17,59811.9,39.87,786,25944,80.9,22,RENT,major_purchase,< 1 year,1
9415, 36 months,13.12,317.77,60931.75,1.35,687,32262,39.0,37,OWN,moving,6 years,0
24833, 36 months,9.45,794.89,96214.88,2.61,788,43280,,39,RENT,car,2 years,0
5158, 60 months,14.98,122.65,51132.33,3.12,692,36092,59.3,15,MORTGAGE,major_purchase,< 1 year,0
21309, 36 months,23.36,828.87,15000.0,29.72,594,18261,79.0,16,RENT,vacation,8 years,0
7970, 60 months,15.96,193.65,64181.15,5.45,662,43647,84.9,31,MORTGAGE,moving,7 years,0
7938, 36 months,17.59,285.35,59385.39,24.9,644,36443,7.8,13,MORTGAGE,medical,3 years,0
22168, 36 months,27.89,915.63,42328.88,12.99,582,23345,90.4,6,OWN,credit_card,2 years,0
21384, 36 months,14.48,735.85,29582.44,18.29,815,10111,,28,OWN,vacation,1 year,0
19017, 36 months,19.35,700.46,39476.01,,708,16389,59.3,16,RENT,credit_card,1 year,0
11344, 36 months,13.72,386.17,117575.49,34.64,826,38301,18.7,27,MORTGAGE,small_business,10+ years,0
9702, 36 months,14.34,333.2,28227.59,23.45,814,9713,81.8,10,RENT,car,2 years,0
1384, 36 months,21.15,52.25,17253.2,37.78,609,37943,54.9,36,RENT,credit_card,< 1 year,0
1404, 36 months,26.6,57.02,20313.53,22.98,650,36646,81.7,14,OTHER,small_business,9 years,0
30189, 36 months,17.7,1086.87,47993.58,4.96,727,19853,81.5,34,MORTGAGE,major_purchase,6 years,0
13763, 36 months,22.79,531.26,133587.28,6.83,672,9013,8.7,35,RENT,medical,1 year,0
19384, 60 months,7.51,388.51,184040.37,39.56,796,3093,60.7,5,MORTGAGE,moving,5 years,0
33606, 60 months,10.25,718.17,72412.84,29.02,817,47544,48.3,14,MORTGAGE,major_purchase,5 years,1
10860, 36 months,16.8,386.11,27207.62,1.97,806,11304,94.6,11,OWN,home_improvement,10+ years,0
39757, 36 months,5.95,1208.58,28996.92,28.15,798,32521,29.7,2,RENT,small_business,3 years,0
16106, 36 months,11.19,528.74,82909.29,16.49,610,26881,20.6,12,OWN,medical,3 years,0
24574, 60 months,17.14,612.58,108986.71,12.29,693,40386,,10,MORTGAGE,debt_consolidation,< 1 year,0
24524, 36 months,5.84,744.29,33349.62,6.16,681,30767,14.9,39,RENT,car,10+ years,1
4636, 36 months,11.45,152.77,115228.26,33.6,672,40745,68.7,24,RENT,car,5 years,0
11916, 36 months,17.07,425.25,42713.23,2.55,786,35318,30.0,14,MORTGAGE,other,7 years,0
5809, 36 months,18.4,211.18,75249.94,11.59,808,33993,56.8,6,MORTGAGE,car,9 years,0
33201, 36 months,26.33,1343.53,97468.08,12.26,650,16011,61.6,26,MORTGAGE,home_improvement,3 years,0
14456, 60 months,20.02,383.16,20149.59,6.44,715,27132,41.7,11,MORTGAGE,major_purchase,< 1 year,0
39765, 36 months,14.83,1375.16,64270.97,20.33,596,41613,97.5,6,MORTGAGE,home_improvement,3 years,0
35816, 36 months,26.43,1451.27,115518.45,0.47,794,40221,13.2,23,OWN,credit_card,1 year,0
18100, 36 months,23.16,702.16,35017.42,12.04,823,9531,39.1,26,MORTGAGE,major_purchase,3 years,0
22949, 36 months,10.0,740.5,26005.18,37.35,674,4556,43.0,38,RENT,car,7 years,0
5544, 60 months,8.44,113.58,65964.45,12.42,700,2717,63.1,21,RENT,vacation,2 years,0
38744, 36 months,20.71,1453.92,53107.1,14.42,585,36160,40.7,29,MORTGAGE,major_purchase,4 years,0
27657, 60 months,18.1,703.81,40280.29,18.93,847,24538,9.7,22,MORTGAGE,home_improvement,9 years,0
37187, 36 months,23.27,1444.74,48955.76,22.47,666,46254,94.7,12,MORTGAGE,home_improvement,10+ years,1
8239, 36 months,22.12,315.16,17994.54,32.35,768,42022,41.6,30,OWN,car,1 year,0
15489, 60 months,19.57,406.67,62485.21,7.61,682,38890,34.3,6,RENT,home_improvement,8 years,0
29538, 36 months,27.69,1216.86,,34.87,683,43492,44.7,38,RENT,vacation,2 years,0
33049, 60 months,17.51,830.44,31926.59,30.3,646,9800,21.7,6,MORTGAGE,moving,< 1 year,0
38131, 36 months,8.04,1195.59,,28.91,685,39407,10.0,34,RENT,debt_consolidation,6 years,0
9427, 60 months,24.14,271.96,54368.33,3.47,827,23402,14.9,37,OWN,debt_consolidation,10+ years,0
25285, 36 months,11.17,829.84,270364.54,0.87,786,27224,16.7,9,MORTGAGE,major_purchase,4 years,0
38626, 36 months,22.99,1495.0,94838.43,23.76,784,46213,19.8,7,RENT,other,8 years,0
23928, 60 months,27.03,731.08,46327.69,34.53,662,4750,42.0,16,RENT,home_improvement,2 years,0
20198, 60 months,21.18,548.47,50199.45,23.38,661,13820,62.4,16,MORTGAGE,debt_consolidation,10+ years,0
20758, 60 months,18.91,537.45,100640.31,8.53,616,35422,62.9,10,RENT,medical,< 1 year,0
16254, 60 months,15.86,394.06,28406.54,3.62,792,49307,0.0,6,OWN,debt_consolidation,6 years,0
2252, 60 months,13.7,52.05,70759.75,27.98,712,35837,92.1,27,MORTGAGE,small_business,7 years,0
13173, 36 months,13.44,446.65,25072.5,28.87,694,18347,82.3,24,RENT,moving,10+ years,0
38441, 36 months,19.82,1425.08,85386.97,6.9,790,20978,96.4,17,MORTGAGE,credit_card,1 year,0
27698, 36 months,22.4,1063.54,41094.41,1.13,711,13713,36.0,36,MORTGAGE,other,1 year,0
16781, 36 months,20.77,630.25,55293.82,16.33,733,40431,66.5,11,MORTGAGE,car,8 years,0
14051, 36 months,9.96,453.12,39524.43,23.31,761,31207,16.8,28,OWN,home_improvement,3 years,0
7949, 36 months,16.61,281.86,74549.01,28.24,726,6303,81.7,17,RENT,vacation,,0
9017, 36 months,23.31,350.5,44143.05,32.4,801,6142,16.1,22,OWN,major_purchase,8 years,0
7941, 36 months,16.2,279.97,178935.92,24.42,706,42436,32.6,13,RENT,small_business,8 years,0
26934, 36 months,17.57,967.93,114842.92,4.44,782,3755,49.1,10,OWN,credit_card,5 years,0
24386, 36 months,22.85,942.07,22413.68,27.3,697,48197,59.5,17,RENT,debt_consolidation,5 years,1
11209, 36 months,20.38,418.74,54988.19,39.37,640,830,56.0,10,RENT,major_purchase,8 years,1
18715, 60 months,14.71,442.38,76198.2,36.22,810,46393,10.2,30,MORTGAGE,debt_consolidation,1 year,0
29920, 60 months,25.65,889.63,37238.72,34.87,729,39342,42.2,24,RENT,other,8 years,0
32703, 36 months,9.16,1042.38,101466.71,12.09,724,13693,92.3,25,MORTGAGE,car,3 years,0
5637, 36 months,27.9,232.86,94541.15,30.03,690,6121,,23,OWN,credit_card,3 years,1
5854, 36 months,8.17,183.9,46623.62,34.04,746,28304,59.1,32,MORTGAGE,small_business,8 years,0
38660, 36 months,5.84,1173.31,88320.68,27.13,768,48294,57.2,11,MORTGAGE,moving,6 years,0
20856, 36 months,25.53,835.09,15000.0,10.02,628,22458,11.2,28,RENT,major_purchase,9 years,1
22833, 36 months,11.01,747.63,110697.1,38.15,686,34110,20.0,35,OWN,debt_consolidation,4 years,1
20963, 36 months,21.92,799.72,83441.85,18.03,672,43124,25.3,25,MORTGAGE,car,7 years,0
37932, 36 months,23.75,1483.21,25524.48,5.19,703,43704,48.8,22,RENT,major_purchase,< 1 year,0
28169, 60 months,24.83,823.99,57018.34,4.39,719,24063,73.1,16,RENT,vacation,6 years,0
8941, 60 months,27.81,277.36,15000.0,25.9,590,45258,46.1,18,OWN,credit_card,3 years,1
15388, 36 months,12.12,511.98,31006.3,17.51,750,34612,,20,RENT,small_business,1 year,0
6569, 36 months,21.48,249.11,94597.24,3.78,615,46017,43.9,26,MORTGAGE,medical,1 year,0
5300, 36 months,8.1,166.33,48644.71,29.61,709,49613,16.3,23,RENT,debt_consolidation,10+ years,0
37586, 36 months,14.65,1296.5,47055.27,31.97,640,30545,75.1,15,MORTGAGE,moving,8 years,0
13015, 60 months,24.58,378.81,50369.23,29.02,628,23227,16.7,29,RENT,other,5 years,0
7254, 36 months,13.77,247.11,46964.26,8.09,765,200,48.3,13,MORTGAGE,credit_card,10+ years,0
18144, 60 months,18.8,468.67,88653.77,27.59,800,16899,,28,RENT,medical,3 years,0
25214, 36 months,16.83,896.82,33813.19,,585,5871,22.8,25,MORTGAGE,home_improvement,1 year,0
16183, 60 months,20.03,429.02,63045.23,12.2,754,46285,7.6,23,RENT,vacation,6 years,0
7238, 36 months,27.39,297.01,24667.19,15.95,783,21834,56.3,37,MORTGAGE,car,8 years,0
7090, 60 months,6.75,139.56,76470.44,33.41,675,31325,5.4,24,RENT,moving,1 year,0
12637, 36 months,18.41,459.46,40423.93,15.62,714,21223,58.8,9,MORTGAGE,medical,3 years,1
23415, 36 months,24.92,929.99,,0.45,612,29546,75.3,29,OWN,car,< 1 year,0
25071, 36 months,16.33,885.51,39446.38,14.09,661,22874,32.9,30,RENT,debt_consolidation,,0
19271, 36 months,7.27,597.41,42557.35,19.96,727,26972,48.8,16,RENT,moving,2 years,0
37034, 60 months,18.11,942.64,26827.0,37.96,674,3696,92.9,9,MORTGAGE,small_business,< 1 year,0
34434, 60 months,12.97,782.95,59727.63,37.64,749,42235,47.1,29,RENT,medical,3 years,1
5188, 60 months,8.99,107.67,68377.46,7.23,790,23385,99.7,34,MORTGAGE,medical,5 years,0
11161, 36 months,24.6,441.4,22062.09,7.41,770,18013,15.7,12,OWN,vacation,4 years,0
29732, 60 months,17.24,742.76,34274.61,6.54,586,20402,70.9,38,RENT,medical,8 years,0
12314, 36 months,26.5,499.42,49911.58,31.56,613,37257,65.3,26,MORTGAGE,medical,10+ years,1
24954, 36 months,23.64,974.31,34228.4,0.24,630,2016,87.2,35,RENT,small_business,1 year,0
22508, 36 months,21.09,849.03,42886.27,5.09,699,41126,9.2,23,OWN,home_improvement,1 year,0
22969, 36 months,5.61,694.71,129270.33,21.52,717,33743,28.0,3,OWN,small_business,2 years,0
38545, 36 months,15.13,1338.63,26611.6,9.9,685,20931,13.2,17,RENT,vacation,3 years,0
37668, 36 months,9.94,1214.38,15000.0,3.69,611,40073,93.3,12,RENT,moving,8 years,0
24061, 36 months,25.99,969.3,34226.52,14.4,703,17243,42.7,15,OWN,home_improvement,10+ years,1
14716, 60 months,9.43,308.56,40259.62,10.97,749,20328,91.0,33,OWN,home_improvement,5 years,0
17907, 36 months,11.94,594.26,36534.27,20.44,591,209,29.4,23,RENT,medical,8 years,0
19777, 36 months,17.13,706.38,57600.51,39.17,747,45823,12.6,6,RENT,medical,4 years,0
28693, 36 months,11.43,945.23,26453.69,4.97,657,9800,29.7,37,RENT,major_purchase,8 years,0
27329, 36 months,10.22,884.66,24217.53,14.91,613,213,59.7,24,OWN,car,8 years,0
17282, 36 months,18.98,633.31,32705.8,37.28,788,22281,84.5,20,RENT,car,< 1 year,0
24624, 36 months,7.5,765.96,33113.32,35.07,587,28007,,30,MORTGAGE,credit_card,8 years,1
24321, 36 months,6.81,748.85,174993.58,15.77,804,38550,91.5,24,RENT,small_business,6 years,0
11488, 36 months,13.88,391.96,124426.26,27.96,806,40170,24.4,10,MORTGAGE,major_purchase,10+ years,1
23574, 36 months,21.71,896.77,18002.82,3.51,754,25548,69.4,19,RENT,other,7 years,0
6240, 60 months,17.98,158.39,15399.87,28.5,660,28375,73.6,32,RENT,medical,2 years,1
11478, 36 months,15.01,397.94,46562.38,38.91,636,303,27.4,38,OWN,other,< 1 year,0
20262, 36 months,18.23,734.86,154346.76,21.5,714,26411,2.7,18,RENT,major_purchase,3 years,0
5432, 60 months,13.72,125.61,73105.13,19.94,817,24558,,19,RENT,car,,0
30721, 36 months,26.56,1246.95,48063.03,7.49,796,20431,4.5,28,MORTGAGE,major_purchase,< 1 year,0
14568, 36 months,6.74,448.09,37285.34,25.35,806,6951,90.1,22,RENT,vacation,3 years,0
15178, 60 months,20.65,407.63,93554.32,23.62,605,11653,95.4,2,RENT,moving,7 years,0
23195, 36 months,25.55,928.99,54545.67,26.08,766,34935,73.5,33,RENT,credit_card,< 1 year,0
1302, 36 months,23.59,50.8,138559.49,1.04,697,5959,72.7,15,OTHER,credit_card,9 years,0
18022, 36 months,9.64,578.48,17807.54,21.95,776,18017,24.1,15,RENT,vacation,9 years,0
1055, 36 months,12.16,35.12,63208.08,23.8,695,31953,7.4,34,RENT,credit_card,8 years,0
9717, 36 months,21.63,369.24,34962.15,8.3,681,35242,80.2,37,RENT,home_improvement,5 years,0
29699, 36 months,7.4,922.46,62853.7,8.33,742,13855,55.9,13,MORTGAGE,small_business,4 years,0
9150, 36 months,23.77,357.88,56983.31,11.05,757,21424,68.2,26,MORTGAGE,other,8 years,0
3125, 36 months,21.68,118.83,66556.05,28.47,791,35145,78.0,16,OWN,car,8 years,0
17748, 36 months,21.92,677.07,88128.33,24.25,633,26326,40.9,21,MORTGAGE,car,8 years,0
5621, 36 months,7.76,175.52,112856.86,33.83,646,27258,14.5,35,MORTGAGE,credit_card,2 years,0
16034, 36 months,21.65,609.45,158108.04,11.83,611,19795,79.5,15,MORTGAGE,credit_card,7 years,0
6126, 36 months,20.8,230.17,49487.56,36.48,830,4275,45.4,31,MORTGAGE,home_improvement,9 years,0
6122, 36 months,24.2,240.83,35404.35,,587,45242,82.7,14,RENT,credit_card,3 years,0
19030, 60 months,6.44,371.81,23494.15,15.8,794,9552,43.8,15,RENT,major_purchase,3 years,0
18302, 36 months,6.02,556.95,63635.82,3.81,625,7275,21.7,30,MORTGAGE,debt_consolidation,6 years,0
20181, 36 months,13.89,688.66,80898.49,10.28,659,15485,17.1,27,RENT,medical,7 years,0
39638, 36 months,8.85,1257.71,21827.62,38.27,614,33540,,4,MORTGAGE,car,3 years,0
2531, 36 months,18.06,91.58,97421.19,12.41,768,11969,57.5,26,MORTGAGE,other,,0
24333, 60 months,26.14,730.56,46128.66,13.2,668,46113,40.5,28,RENT,medical,9 years,0
35674, 36 months,14.31,1224.63,23075.11,7.58,715,7605,49.2,17,MORTGAGE,vacation,5 years,0
36854, 60 months,24.51,1071.15,29467.04,32.27,613,34067,55.0,39,OWN,medical,< 1 year,1
9152, 36 months,5.51,276.39,27835.13,11.03,692,15853,23.9,12,RENT,credit_card,1 year,0
39518, 60 months,9.29,825.9,28133.8,,751,24757,37.8,30,MORTGAGE,credit_card,4 years,0
11267, 36 months,6.18,343.68,69005.45,16.57,622,44865,29.2,25,OWN,moving,3 years,0
26289, 60 months,12.88,596.54,82314.01,17.35,592,8337,38.8,30,MORTGAGE,moving,2 years,0
2062, 36 months,25.93,83.0,135874.55,16.45,753,37931,50.1,35,OWN,moving,10+ years,0
30926, 36 months,7.68,964.55,32243.34,20.15,704,12134,17.3,12,MORTGAGE,small_business,5 years,0
7229, 36 months,19.14,265.5,60220.84,32.58,786,1839,39.4,21,OWN,car,9 years,0
5632, 36 months,15.66,197.06,33249.15,32.77,683,37362,38.5,21,OWN,moving,5 years,0
4596, 60 months,26.62,139.3,49616.28,31.93,709,17186,28.6,10,RENT,moving,10+ years,0
7168, 36 months,8.26,225.48,20166.37,4.04,619,10190,99.8,24,RENT,home_improvement,9 years,0
8561, 36 months,10.27,277.33,24986.27,31.99,602,17702,7.4,37,MORTGAGE,debt_consolidation,7 years,0
9258, 60 months,6.16,179.67,79366.87,4.81,831,16359,64.3,28,OWN,debt_consolidation,1 year,0
17616, 36 months,15.26,612.91,20129.07,4.99,781,22502,17.4,25,OTHER,credit_card,6 years,0
27734, 60 months,11.75,613.43,70890.99,37.91,734,32514,84.0,26,OWN,moving,6 years,1
7371, 60 months,25.07,216.65,32673.2,32.78,634,37394,,26,OWN,small_business,1 year,0
27069, 36 months,19.11,993.75,15439.4,22.1,685,11990,40.1,34,RENT,credit_card,5 years,0
15369, 60 months,19.32,401.39,15000.0,35.0,839,43218,82.3,32,MORTGAGE,small_business,4 years,0
13910, 36 months,17.47,499.19,117957.16,39.57,779,2940,25.0,11,MORTGAGE,debt_consolidation,1 year,0
8943, 36 months,7.57,278.47,15626.92,24.43,796,23953,14.0,16,RENT,vacation,8 years,0
13199, 36 months,15.51,460.85,47163.54,24.52,626,7398,31.6,2,RENT,medical,7 years,0
16728, 36 months,27.99,691.84,60619.41,30.18,696,38226,34.2,17,MORTGAGE,debt_consolidation,6 years,1
24275, 60 months,24.29,702.43,22294.13,9.29,791,2052,39.7,22,RENT,vacation,5 years,0
7738, 60 months,25.6,229.85,35167.75,6.68,734,44812,37.3,3,OWN,vacation,4 years,0
16913, 36 months,24.02,663.72,65335.73,30.38,842,6305,41.1,4,MORTGAGE,moving,8 years,0
36240, 36 months,7.82,1132.62,58453.67,13.8,730,8407,71.0,16,RENT,small_business,4 years,0
20123, 60 months,10.62,433.72,37184.77,5.4,791,785,24.6,33,RENT,credit_card,5 years,0
35529, 36 months,5.57,1073.95,56508.3,12.6,771,39747,1.9,28,MORTGAGE,credit_card,2 years,0
11167, 36 months,12.33,372.67,46104.19,14.35,822,1635,49.0,37,RENT,car,8 years,0
11554, 36 months,7.94,361.74,27384.98,38.61,677,14279,44.8,36,RENT,vacation,,0
18260, 60 months,16.14,445.41,100739.6,27.92,608,14272,6.0,25,RENT,other,,0
4812, 36 months,20.74,180.65,55517.43,21.23,768,10491,13.4,9,RENT,credit_card,8 years,0
29024, 60 months,25.18,854.96,16232.67,38.75,751,11944,,8,MORTGAGE,major_purchase,< 1 year,0
28285, 60 months,22.36,787.0,67037.32,36.13,776,3109,23.5,5,MORTGAGE,medical,< 1 year,0
27900, 36 months,26.62,1133.34,33883.74,20.48,734,12515,87.8,31,RENT,other,1 year,0
2605, 36 months,6.71,80.09,41205.96,36.23,719,37772,17.3,11,MORTGAGE,vacation,3 years,0
6622, 60 months,5.77,127.31,49262.43,16.17,835,22140,2.0,26,RENT,other,9 years,0
7767, 36 months,20.38,290.16,30461.88,9.22,743,7445,44.8,33,MORTGAGE,car,4 years,0
28139, 60 months,12.01,626.08,144613.9,9.31,713,33052,98.6,33,MORTGAGE,home_improvement,6 years,0
12613, 60 months,11.2,275.5,20010.44,26.49,845,44541,63.4,33,RENT,small_business,3 years,0
11589, 36 months,12.94,390.14,50716.8,20.04,608,42970,35.4,11,RENT,small_business,< 1 year,0
14918, 60 months,11.57,328.61,61624.26,26.36,718,2413,1.7,10,MORTGAGE,home_improvement,7 years,0
21119, 60 months,17.01,524.98,50248.08,27.44,664,18027,48.5,26,MORTGAGE,credit_card,10+ years,0
28446, 60 months,15.4,682.72,43713.34,0.89,828,7235,20.6,26,MORTGAGE,small_business,2 years,0
14046, 36 months,17.03,500.99,39096.65,2.16,812,9319,64.8,17,OWN,medical,8 years,0
25818, 36 months,20.64,967.93,30275.44,21.31,640,28048,58.3,17,OWN,medical,1 year,1
36358, 36 months,14.21,1246.34,29955.02,7.64,798,30372,26.5,31,RENT,moving,10+ years,0
5324, 36 months,11.15,174.68,98235.81,25.3,828,6335,6.9,39,OWN,debt_consolidation,< 1 year,0
11787, 36 months,9.24,376.14,37607.24,22.09,651,28354,75.5,6,MORTGAGE,small_business,9 years,0
10111, 60 months,13.36,231.92,176188.8,23.43,777,49795,58.5,8,MORTGAGE,vacation,7 years,0
39110, 36 months,22.19,1497.48,73230.27,,659,27354,84.2,14,RENT,vacation,2 years,0
17389, 36 months,22.53,668.87,15000.0,25.59,716,40985,26.0,9,OWN,credit_card,< 1 year,0
15043, 36 months,20.51,562.97,83279.31,33.18,792,43005,65.3,34,OWN,other,10+ years,0
29746, 60 months,10.77,643.34,47481.91,39.92,686,48734,11.9,11,OWN,small_business,2 years,0
23350, 36 months,18.73,852.73,21290.77,33.54,786,36705,29.2,21,OWN,other,7 years,0
1117, 36 months,18.34,40.57,107210.89,22.3,731,4807,65.7,33,MORTGAGE,vacation,10+ years,0
19935, 36 months,16.4,704.8,37739.02,7.74,712,14950,82.6,30,MORTGAGE,credit_card,3 years,0
14234, 60 months,17.87,360.44,35862.25,27.26,745,6336,32.1,2,RENT,moving,9 years,0
39328, 36 months,16.57,1393.75,61396.86,37.51,759,6524,79.9,28,MORTGAGE,small_business,10+ years,0
1846, 36 months,18.22,66.94,97314.01,8.47,700,17409,67.8,21,OWN,debt_consolidation,6 years,0
11954, 60 months,21.6,327.44,52472.74,10.24,753,38490,34.9,15,OWN,vacation,7 years,0
14703, 60 months,7.97,297.91,50266.37,5.96,647,41898,87.6,16,RENT,debt_consolidation,6 years,0
23700, 60 months,22.37,659.56,32269.58,29.47,766,36866,50.9,7,RENT,car,< 1 year,0
33043, 36 months,8.56,1044.01,96322.2,16.26,717,15265,64.8,3,OTHER,vacation,3 years,0
7469, 36 months,7.0,230.62,52776.98,2.51,817,9664,49.6,30,MORTGAGE,debt_consolidation,,0
31105, 60 months,27.46,958.37,42818.87,35.0,597,28223,45.3,33,OWN,debt_consolidation,8 years,1
27386, 36 months,27.03,1118.48,39747.25,,655,29830,84.8,6,MORTGAGE,moving,,0
37976, 60 months,6.86,749.46,90771.02,13.24,730,13602,29.5,23,RENT,medical,< 1 year,0
3048, 36 months,15.47,106.36,41881.77,13.76,687,10517,3.7,29,MORTGAGE,moving,7 years,0
13941, 36 months,9.69,447.81,90911.21,11.61,732,16559,88.0,33,MORTGAGE,major_purchase,3 years,0
2828, 36 months,16.42,100.01,36940.18,,616,8095,82.5,30,OWN,home_improvement,6 years,1
2917, 36 months,24.18,114.72,75612.98,13.48,725,47385,36.7,4,RENT,vacation,5 years,0
21618, 36 months,26.89,881.28,55506.63,21.92,705,22277,18.5,32,MORTGAGE,credit_card,6 years,0
33254, 36 months,19.77,1231.94,27709.95,30.94,687,23725,67.6,14,RENT,small_business,9 years,0
21128, 60 months,13.46,485.72,46528.22,26.98,819,19894,7.9,7,RENT,other,9 years,0
1009, 36 months,19.07,37.02,15000.0,11.78,681,31178,42.4,22,MORTGAGE,major_purchase,< 1 year,0
17644, 36 months,12.52,590.43,31369.02,21.15,799,40565,8.6,15,MORTGAGE,credit_card,5 years,0
23422, 60 months,25.97,700.85,19021.33,33.61,586,950,59.8,26,MORTGAGE,debt_consolidation,2 years,0
10865, 36 months,25.08,432.45,162510.85,2.73,795,37204,2.7,8,MORTGAGE,vacation,9 years,0
3219, 36 months,18.06,116.47,19156.2,,748,35512,62.9,23,MORTGAGE,home_improvement,3 years,0
6287, 60 months,12.81,142.44,231300.82,22.25,653,48882,67.3,33,RENT,small_business,< 1 year,0
35387, 36 months,12.1,1177.05,66740.53,25.56,606,1920,48.7,33,MORTGAGE,vacation,9 years,0
9512, 60 months,6.25,185.0,35906.72,8.46,622,9876,17.5,31,RENT,debt_consolidation,7 years,1
2342, 60 months,23.86,67.18,79524.15,29.81,672,21996,10.1,18,RENT,major_purchase,1 year,0
20216, 60 months,15.63,487.65,33299.28,25.85,650,6419,31.3,39,RENT,other,2 years,0
28534, 36 months,12.82,958.95,21041.89,36.93,848,9160,46.5,22,OWN,home_improvement,6 years,0
15231, 36 months,16.1,536.23,51402.5,6.76,688,31706,64.2,27,RENT,credit_card,1 year,0
33293, 36 months,23.92,1304.78,,30.05,760,38940,0.1,4,RENT,home_improvement,3 years,0
27614, 36 months,8.3,869.15,105561.24,3.35,794,38698,71.1,39,OWN,debt_consolidation,6 years,0
37258, 60 months,24.8,1089.21,66081.1,22.61,693,3808,71.3,18,RENT,debt_consolidation,2 years,0
29253, 36 months,25.69,1173.8,35681.68,22.08,764,45740,44.5,7,RENT,car,,0
18988, 36 months,26.8,773.15,112618.99,15.54,704,44275,34.3,22,RENT,major_purchase,7 years,0
32037, 60 months,14.44,752.77,98497.41,33.78,684,47424,84.2,14,MORTGAGE,credit_card,1 year,0
13219, 36 months,10.39,428.96,57607.64,0.17,816,37506,78.5,10,MORTGAGE,home_improvement,9 years,0
1235, 36 months,13.91,42.16,101363.33,20.81,720,22879,98.3,6,RENT,credit_card,6 years,1
2908, 36 months,12.99,97.97,181840.68,8.69,737,13604,37.2,8,MORTGAGE,moving,10+ years,0
9567, 60 months,9.46,200.74,35378.15,29.74,696,20773,90.7,39,MORTGAGE,credit_card,2 years,1
37298, 36 months,19.16,1370.22,28572.31,1.72,641,13808,8.7,39,RENT,other,3 years,0
6256, 60 months,16.22,152.87,34765.7,33.26,603,43465,41.1,32,MORTGAGE,other,5 years,0
20019, 36 months,24.98,795.74,21811.88,33.52,639,13034,46.5,5,MORTGAGE,medical,10+ years,0
9162, 60 months,6.22,178.07,69893.57,33.31,844,3884,44.1,14,RENT,credit_card,2 years,0
6415, 60 months,19.99,169.92,18658.52,6.1,759,33500,62.5,16,RENT,vacation,,1
37159, 36 months,22.67,1432.03,104716.14,25.22,811,48809,17.0,14,MORTGAGE,medical,7 years,0
6951, 36 months,22.59,267.59,32751.07,0.57,722,17965,86.6,27,RENT,other,3 years,0
22852, 36 months,25.44,913.92,110771.49,33.92,824,31803,55.2,20,RENT,medical,< 1 year,0
